year,school_name_x,school_name_y,ptr
2019,QUEENS HIGH SCHOOL FOR LANGUAGE STUDIES,Queens High School for Language Studies,14.4
2020,QUEENS HIGH SCHOOL FOR LANGUAGE STUDIES,Queens High School for Language Studies,15.2
2022,QUEENS HIGH SCHOOL FOR LANGUAGE STUDIES,Queens High School for Language Studies,15.3
2019,"QUEENS HIGH SCHOOL OF TEACHING, LIBERAL ARTS AND THE SCIENCES","Queens High School of Teaching, Liberal Arts and the Sciences",17.0
2020,"QUEENS HIGH SCHOOL OF TEACHING, LIBERAL ARTS AND THE SCIENCES","Queens High School of Teaching, Liberal Arts and the Sciences",16.3
2022,"QUEENS HIGH SCHOOL OF TEACHING, LIBERAL ARTS AND THE SCIENCES","Queens High School of Teaching, Liberal Arts and the Sciences",16.4
2019,QUEENS METROPOLITAN HIGH SCHOOL,Queens Metropolitan High School,15.8
2020,QUEENS METROPOLITAN HIGH SCHOOL,Queens Metropolitan High School,15.8
2022,QUEENS METROPOLITAN HIGH SCHOOL,Queens Metropolitan High School,16.0
2019,QUEENS PREPARATORY ACADEMY,Queens Preparatory Academy,14.6
2020,QUEENS PREPARATORY ACADEMY,Queens Preparatory Academy,11.6
2022,QUEENS PREPARATORY ACADEMY,Queens Preparatory Academy,11.6
2019,QUEENS SATELLITE HIGH SCHOOL FOR OPPORTUNITY,Queens Satellite High School for Opportunity,15.4
2020,QUEENS SATELLITE HIGH SCHOOL FOR OPPORTUNITY,Queens Satellite High School for Opportunity,15.1
2022,QUEENS SATELLITE HIGH SCHOOL FOR OPPORTUNITY,Queens Satellite High School for Opportunity,14.5
2019,"QUEENS SCHOOL OF INQUIRY, THE",The Queens School of Inquiry,12.3
2020,"QUEENS SCHOOL OF INQUIRY, THE",The Queens School of Inquiry,13.2
2022,"QUEENS SCHOOL OF INQUIRY, THE",The Queens School of Inquiry,12.8
2019,QUEST TO LEARN,Quest to Learn,11.5
2020,QUEST TO LEARN,Quest to Learn,12.7
2022,QUEST TO LEARN,Quest to Learn,12.5
2019,RACHEL CARSON HIGH SCHOOL FOR COASTAL STUDIES,Rachel Carson High School for Coastal Studies,16.1
2020,RACHEL CARSON HIGH SCHOOL FOR COASTAL STUDIES,Rachel Carson High School for Coastal Studies,16.9
2022,RACHEL CARSON HIGH SCHOOL FOR COASTAL STUDIES,Rachel Carson High School for Coastal Studies,16.9
2019,RESEARCH AND SERVICE HIGH SCHOOL,Research and Service High School,16.0
2020,RESEARCH AND SERVICE HIGH SCHOOL,Research and Service High School,15.4
2022,RESEARCH AND SERVICE HIGH SCHOOL,Research and Service High School,12.8
2019,RICHMOND HILL HIGH SCHOOL,Richmond Hill High School,12.5
2020,RICHMOND HILL HIGH SCHOOL,Richmond Hill High School,14.4
2022,RICHMOND HILL HIGH SCHOOL,Richmond Hill High School,14.4
2019,ROCKAWAY COLLEGIATE HIGH SCHOOL,Rockaway Collegiate High School,11.5
2020,ROCKAWAY COLLEGIATE HIGH SCHOOL,Rockaway Collegiate High School,12.4
2022,ROCKAWAY COLLEGIATE HIGH SCHOOL,Rockaway Collegiate High School,11.9
2019,ROCKAWAY PARK HIGH SCHOOL FOR ENVIRONMENTAL SUSTAINABILITY,Rockaway Park High School for Environmental Sustainability,12.1
2020,ROCKAWAY PARK HIGH SCHOOL FOR ENVIRONMENTAL SUSTAINABILITY,Rockaway Park High School for Environmental Sustainability,12.0
2022,ROCKAWAY PARK HIGH SCHOOL FOR ENVIRONMENTAL SUSTAINABILITY,Rockaway Park High School for Environmental Sustainability,11.5
2019,SCHOLARS' ACADEMY,Scholars' Academy,17.9
2020,SCHOLARS' ACADEMY,Scholars' Academy,17.2
2022,SCHOLARS' ACADEMY,Scholars' Academy,17.2
2019,SCHOOL FOR EXCELLENCE,School for Excellence,11.5
2020,SCHOOL FOR EXCELLENCE,School for Excellence,11.4
2022,SCHOOL FOR EXCELLENCE,School for Excellence,10.5
2019,SCHOOL FOR INTERNATIONAL STUDIES,CSI High School for International Studies,14.2
2020,SCHOOL FOR INTERNATIONAL STUDIES,CSI High School for International Studies,14.3
2022,SCHOOL FOR INTERNATIONAL STUDIES,CSI High School for International Studies,14.5
2019,SCHUYLERVILLE PREPARATORY HIGH SCHOOL,Schuylerville Preparatory High School,12.9
2020,SCHUYLERVILLE PREPARATORY HIGH SCHOOL,Schuylerville Preparatory High School,14.0
2022,SCHUYLERVILLE PREPARATORY HIGH SCHOOL,Schuylerville Preparatory High School,14.1
2019,SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL,South Bronx Preparatory: A College Board School,13.1
2020,SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL,South Bronx Preparatory: A College Board School,12.3
2022,SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL,South Bronx Preparatory: A College Board School,12.4
2019,SOUTH BROOKLYN COMMUNITY HIGH SCHOOL,South Brooklyn Community High School,11.8
