Year,School Name,DBN,School Code,School Level,Leadership,Teachers,Other Staff,Male Count,Male Average Years in Title,Male Average Years at School,Female Count,Female Average Years in Title,Female Average Years at School,American Indian/Alaskan Native (AI/AN) Count,AI/AN Average Years in Title,AI/AN Average Years at School,Asian Count,Asian Average Years in Title,Asian Average Years at School,Black/African American (B/AA) Count,B/AA Average Years in Title,B/AA Average Years at School,Hawaiian/Pacific Islander (H/PI) Count,H/PI Average Years in Title,H/PI Average Years at School,Hispanic Count,Hispanic Average Years in Title,Hispanic Average Years at School,White Count,White Average Years in Title,White Average Years at School,Multiple Count,Multiple Average Years in Title,Multiple Average Years at School,Unknown/Other (U/O) Count,U/O Average Years in Title,U/O Average Years at School
2020,,05M046,,,3,52,22,8,9.0,6.9,44,10.2,8.2,*,*,*,*,,,19,12.1,9.8,*,*,*,10,12.0,9.1,19,7.5,5.8,*,*,*,*,,
2020,,05M092,,,3,23,16,*,,,*,,,*,*,*,*,,,12,17.6,15.2,*,*,*,*,,,6,5.1,3.6,*,*,*,*,,
2020,,05M123,,,2,46,14,11,8.1,4.3,35,9.8,7.4,*,*,*,*,,,17,14.3,10.6,*,*,*,10,10.0,7.5,17,4.3,3.0,*,*,*,*,,
2020,,05M125,,,1,23,29,*,,,*,,,*,*,*,*,,,6,12.8,7.4,*,*,*,9,7.5,6.2,8,10.3,9.7,*,*,*,*,,
2020,,05M129,,,2,40,21,7,20.8,18.9,33,14.3,11.0,*,*,*,*,,,22,18.8,15.3,*,*,*,7,18.7,15.3,6,6.8,5.7,*,*,*,*,,
2020,,05M133,,,2,33,17,5,6.8,4.6,28,7.7,4.0,*,*,*,*,,,11,11.7,6.3,*,*,*,*,,,14,4.2,2.3,*,*,*,*,,
2020,,05M154,,,2,31,13,7,7.7,2.1,24,11.7,6.3,*,*,*,5,11.0,9.0,13,12.2,5.9,*,*,*,5,10.6,6.1,7,8.7,1.4,*,*,*,*,,
2020,,05M161,,,4,68,22,14,15.2,9.8,54,10.8,8.8,*,*,*,*,,,18,15.4,9.4,*,*,*,33,12.7,10.7,12,6.8,6.1,*,*,*,*,,
2020,,05M175,,,2,28,16,*,,,*,,,*,*,*,*,,,6,17.0,11.2,*,*,*,7,10.9,6.4,8,5.9,4.1,*,*,*,*,,
2020,,05M194,,,2,22,10,5,8.4,4.2,17,7.8,2.8,*,*,*,*,,,11,8.1,2.1,*,*,*,*,,,7,6.4,2.3,*,*,*,*,,
2020,,05M197,,,2,34,26,8,13.4,9.4,26,13.4,9.2,*,*,*,*,,,21,17.5,12.0,*,*,*,*,,,9,6.4,3.5,*,*,*,*,,
2020,,05M200,,,2,36,17,*,,,*,,,*,*,*,*,,,28,17.1,12.2,*,*,*,*,,,*,,,*,*,*,*,,
